"museum_type_count","museum_type","city_administrative_location","state_administrative_location"
"10","HISTORIC PRESERVATION","ANCHORAGE","AK"
"1","HISTORIC PRESERVATION","FORT RICHARDSON","AK"
"6","GENERAL MUSEUM","JUNEAU","AK"
"5","GENERAL MUSEUM","FAIRBANKS","AK"
"1","CHILDREN'S MUSEUM","ANCHORAGE","AK"
"2","HISTORIC PRESERVATION","COPPER CENTER","AK"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","FAIRBANKS","AK"
"1","HISTORIC PRESERVATION","EAGLE RIVER","AK"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","SKAGWAY","AK"
"1","GENERAL MUSEUM","KENAI","AK"
"1","GENERAL MUSEUM","DENALI PARK","AK"
"1","GENERAL MUSEUM","UNALASKA","AK"
"1","HISTORIC PRESERVATION","NOME","AK"
"1","HISTORY MUSEUM","SITKA","AK"
"1","HISTORIC PRESERVATION","WASILLA","AK"
"1","GENERAL MUSEUM","WRANGELL","AK"
"11","GENERAL MUSEUM","BIRMINGHAM","AL"
"14","HISTORIC PRESERVATION","BIRMINGHAM","AL"
"11","GENERAL MUSEUM","MOBILE","AL"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","DOTHAN","AL"
"5","GENERAL MUSEUM","HUNTSVILLE","AL"
"3","GENERAL MUSEUM","FORT PAYNE","AL"
"1","GENERAL MUSEUM","MARION","AL"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","BIRMINGHAM","AL"
"1","HISTORY MUSEUM","ALICEVILLE","AL"
"1","NATURAL HISTORY MUSEUM","HUNTSVILLE","AL"
"1","ART MUSEUM","DAPHNE","AL"
"2","HISTORIC PRESERVATION","ARAB","AL"
"5","ART MUSEUM","HUNTSVILLE","AL"
"1","HISTORIC PRESERVATION","ASHVILLE","AL"
"3","HISTORIC PRESERVATION","PRATTVILLE","AL"
"1","HISTORIC PRESERVATION","BAY MINETTE","AL"
"1","GENERAL MUSEUM","ELBERTA","AL"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","MOUNTAIN BRK","AL"
"1","HISTORIC PRESERVATION","BLOUNTSVILLE","AL"
"1","HISTORIC PRESERVATION","BRUNDIDGE","AL"
"1","ART MUSEUM","TANNER","AL"
"3","HISTORIC PRESERVATION","JASPER","AL"
"1","HISTORIC PRESERVATION","CENTER POINT","AL"
"1","CHILDREN'S MUSEUM","FLORENCE","AL"
"1","HISTORIC PRESERVATION","COLLINSVILLE","AL"
"6","HISTORIC PRESERVATION","TUSCALOOSA","AL"
"2","HISTORIC PRESERVATION","ROCKFORD","AL"
"1","HISTORIC PRESERVATION","MARBURY","AL"
"2","HISTORIC PRESERVATION","CULLMAN","AL"
"1","HISTORIC PRESERVATION","MT MEIGS","AL"
"1","GENERAL MUSEUM","WATERLOO","AL"
"1","HISTORIC PRESERVATION","EPES","AL"
"2","HISTORIC PRESERVATION","EUFAULA","AL"
"1","GENERAL MUSEUM","FLOMATON","AL"
"1","GENERAL MUSEUM","WETUMPKA","AL"
"1","HISTORIC PRESERVATION","GARDENDALE","AL"
"2","GENERAL MUSEUM","TROY","AL"
"1","HISTORIC PRESERVATION","HARTSELLE","AL"
"1","HISTORIC PRESERVATION","ANNISTON","AL"
"1","HISTORY MUSEUM","SHELBY","AL"
"1","HISTORIC PRESERVATION","HOLLY POND","AL"
"1","HISTORIC PRESERVATION","DAVISTON","AL"
"2","ART MUSEUM","AUBURN","AL"
"1","GENERAL MUSEUM","DANVILLE","AL"
"2","GENERAL MUSEUM","AUBURN","AL"
"1","ART MUSEUM","NORTHPORT","AL"
"1","GENERAL MUSEUM","GORDO","AL"
"1","HISTORIC PRESERVATION","MADISON","AL"
"2","ART MUSEUM","TROY","AL"
"3","HISTORIC PRESERVATION","DEMOPOLIS","AL"
"1","HISTORY MUSEUM","BOAZ","AL"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","WILMER","AL"
"1","HISTORIC PRESERVATION","MONTROSE","AL"
"4","ART MUSEUM","TUSCALOOSA","AL"
"1","HISTORIC PRESERVATION","OPELIKA","AL"
"1","HISTORIC PRESERVATION","GORDO","AL"
"1","GENERAL MUSEUM","HILLSBORO","AL"
"1","HISTORY MUSEUM","WETUMPKA","AL"
"1","GENERAL MUSEUM","SPANISH FORT","AL"
"1","HISTORIC PRESERVATION","VESTAVIA HILLS","AL"
"1","HISTORIC PRESERVATION","VINCENT","AL"
"1","GENERAL MUSEUM","FAIRHOPE","AL"
"1","HISTORIC PRESERVATION","VREDENBURGH","AL"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","TROY","AL"
"1","HISTORIC PRESERVATION","CHATOM","AL"
"1","GENERAL MUSEUM","CHATOM","AL"
"1","ART MUSEUM","LIVINGSTON","AL"
"7","ART MUSEUM","LITTLE ROCK","AR"
"1","HISTORY MUSEUM","LINCOLN","AR"
"2","GENERAL MUSEUM","NORTH LITTLE ROCK","AR"
"1","GENERAL MUSEUM","GILLETT","AR"
"2","GENERAL MUSEUM","RUSSELLVILLE","AR"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","PINE BLUFF","AR"
"4","GENERAL MUSEUM","HOT SPRINGS","AR"
"3","ART MUSEUM","CONWAY","AR"
"2","GENERAL MUSEUM","HARRISON","AR"
"1","HISTORY MUSEUM","HARRISON","AR"
"2","ART MUSEUM","STATE UNIVERSITY","AR"
"1","HISTORIC PRESERVATION","BULL SHOAL","AR"
"1","HISTORY MUSEUM","CHIDESTER","AR"
"2","HISTORIC PRESERVATION","VAN BUREN","AR"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","CROSSETT","AR"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","ROGERS","AR"
"1","HISTORY MUSEUM","BLYTHEVILLE","AR"
"1","HISTORIC PRESERVATION","MCGEHEE","AR"
"1","HISTORIC PRESERVATION","EUREKA SPGS","AR"
"1","GENERAL MUSEUM","MAGAZINE","AR"
"2","HISTORIC PRESERVATION","POCAHONTAS","AR"
"2","HISTORIC PRESERVATION","WALDRON","AR"
"1","HISTORIC PRESERVATION","GARFIELD","AR"
"1","GENERAL MUSEUM","SHERIDAN","AR"
"1","HISTORIC PRESERVATION","GRAVETTE","AR"
"3","HISTORIC PRESERVATION","PARAGOULD","AR"
"1","ART MUSEUM","ARKADELPHIA","AR"
"1","GENERAL MUSEUM","ARKADELPHIA","AR"
"1","HISTORIC PRESERVATION","SPRINGDALE","AR"
"1","GENERAL MUSEUM","MALVERN","AR"
"1","HISTORIC PRESERVATION","NEWPORT","AR"
"1","GENERAL MUSEUM","JACKSONVILLE","AR"
"4","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","FORT SMITH","AR"
"1","HISTORIC PRESERVATION","STATE UNIVERSITY","AR"
"2","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","LITTLE ROCK","AR"
"1","HISTORY MUSEUM","LONOKE","AR"
"2","HISTORIC PRESERVATION","LOWELL","AR"
"3","ART MUSEUM","HARRISON","AR"
"1","HISTORY MUSEUM","MELBOURNE","AR"
"1","GENERAL MUSEUM","MENA","AR"
"1","NATURAL HISTORY MUSEUM","HOT SPRINGS","AR"
"1","GENERAL MUSEUM","MOUNTAIN HOME","AR"
"1","HISTORY MUSEUM","STUTTGART","AR"
"1","ART MUSEUM","RUSSELLVILLE","AR"
"1","GENERAL MUSEUM","FAYETTEVILLE","AR"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","EL PASO","AR"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","HUNTSVILLE","AR"
"1","GENERAL MUSEUM","POTTSVILLE","AR"
"1","GENERAL MUSEUM","POWHATAN","AR"
"1","HISTORY MUSEUM","ROGERS","AR"
"1","GENERAL MUSEUM","BERRYVILLE","AR"
"1","HISTORY MUSEUM","SPRINGDALE","AR"
"1","ART MUSEUM","CLARKSVILLE","AR"
"1","ART MUSEUM","SEARCY","AR"
"1","GENERAL MUSEUM","EL DORADO","AR"
"1","GENERAL MUSEUM","HOPE","AR"
"2","HISTORIC PRESERVATION","AJO","AZ"
"1","GENERAL MUSEUM","FORT MOHAVE","AZ"
"5","GENERAL MUSEUM","TEMPE","AZ"
"1","GENERAL MUSEUM","DRAGOON","AZ"
"2","HISTORIC PRESERVATION","ORO VALLEY","AZ"
"5","HISTORIC PRESERVATION","TEMPE","AZ"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","HEREFORD","AZ"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","BULLHEAD CITY","AZ"
"1","NATURAL HISTORY MUSEUM","MESA","AZ"
"2","GENERAL MUSEUM","WILLIAMS","AZ"
"11","ART MUSEUM","TEMPE","AZ"
"2","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","PHOENIX","AZ"
"5","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","TUCSON","AZ"
"1","HISTORY MUSEUM","MIAMI","AZ"
"3","HISTORIC PRESERVATION","SUN CITY","AZ"
"3","HISTORIC PRESERVATION","COOLIDGE","AZ"
"1","HISTORIC PRESERVATION","CASA GRANDE","AZ"
"13","ART MUSEUM","TUCSON","AZ"
"5","HISTORIC PRESERVATION","SCOTTSDALE","AZ"
"1","HISTORY MUSEUM","CAVE CREEK","AZ"
"1","GENERAL MUSEUM","PEORIA","AZ"
"1","HISTORIC PRESERVATION","DOUGLAS","AZ"
"1","HISTORIC PRESERVATION","CORNVILLE","AZ"
"1","HISTORIC PRESERVATION","PIMA","AZ"
"1","HISTORIC PRESERVATION","BOWIE","AZ"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","GLENDALE","AZ"
"1","NATURAL HISTORY MUSEUM","PRESCOTT","AZ"
"1","CHILDREN'S MUSEUM","MESA","AZ"
"1","NATURAL HISTORY MUSEUM","COTTONWOOD","AZ"
"1","HISTORIC PRESERVATION","LK HAVASU CTY","AZ"
"2","HISTORIC PRESERVATION","FLORENCE","AZ"
"2","NATURAL HISTORY MUSEUM","TEMPE","AZ"
"1","HISTORY MUSEUM","FLAGSTAFF","AZ"
"1","HISTORY MUSEUM","WINDOW ROCK","AZ"
"2","HISTORIC PRESERVATION","WINSLOW","AZ"
"1","HISTORIC PRESERVATION","OATMAN","AZ"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","PETRIFIED FOREST","AZ"
"2","HISTORIC PRESERVATION","PINE","AZ"
"2","HISTORIC PRESERVATION","TOMBSTONE","AZ"
"1","HISTORIC PRESERVATION","FREDONIA","AZ"
"1","HISTORIC PRESERVATION","YOUNG","AZ"
"1","HISTORIC PRESERVATION","QUARTZSITE","AZ"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","CORNVILLE","AZ"
"1","HISTORIC PRESERVATION","ARIZONA CITY","AZ"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","SCOTTSDALE","AZ"
"1","HISTORIC PRESERVATION","SEDONA","AZ"
"1","ART MUSEUM","SUN CITY","AZ"
"1","ART MUSEUM","SHOW LOW","AZ"
"1","HISTORIC PRESERVATION","TUBAC","AZ"
"1","HISTORIC PRESERVATION","TUMACACORI","AZ"
"1","HISTORIC PRESERVATION","COTTONWOOD","AZ"
"2","ART MUSEUM","CHICO","CA"
"3","ART MUSEUM","SANTA MONICA","CA"
"7","GENERAL MUSEUM","PALM SPRINGS","CA"
"2","GENERAL MUSEUM","FREMONT","CA"
"1","ART MUSEUM","CALABASAS","CA"
"3","HISTORIC PRESERVATION","CHATSWORTH","CA"
"23","ART MUSEUM","SAN FRANCISCO","CA"
"4","HISTORIC PRESERVATION","CAMPBELL","CA"
"2","GENERAL MUSEUM","SHAFTER","CA"
"1","HISTORIC PRESERVATION","ALBANY","CA"
"1","GENERAL MUSEUM","ALPINE","CA"
"1","GENERAL MUSEUM","DINUBA","CA"
"1","GENERAL MUSEUM","ORLAND","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","OAKLAND","CA"
"1","HISTORIC PRESERVATION","JACKSON","CA"
"1","GENERAL MUSEUM","PLYMOUTH","CA"
"2","GENERAL MUSEUM","POMONA","CA"
"1","GENERAL MUSEUM","TIBURON","CA"
"1","ART MUSEUM","ALHAMBRA","CA"
"9","HISTORIC PRESERVATION","LONG BEACH","CA"
"3","GENERAL MUSEUM","OXNARD","CA"
"1","ART MUSEUM","MENLO PARK","CA"
"4","HISTORIC PRESERVATION","TIBURON","CA"
"1","HISTORIC PRESERVATION","ANNAPOLIS","CA"
"2","ART MUSEUM","LANCASTER","CA"
"3","HISTORIC PRESERVATION","ANTIOCH","CA"
"3","HISTORIC PRESERVATION","SANTEE","CA"
"1","GENERAL MUSEUM","APTOS","CA"
"4","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","SAN FRANCISCO","CA"
"3","NATURAL HISTORY MUSEUM","FRESNO","CA"
"3","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","ARCATA","CA"
"1","HISTORIC PRESERVATION","SILVERADO","CA"
"1","HISTORY MUSEUM","GLENDALE","CA"
"1","ART MUSEUM","COSTA MESA","CA"
"3","ART MUSEUM","SAN LUIS OBISPO","CA"
"8","ART MUSEUM","RIVERSIDE","CA"
"29","HISTORIC PRESERVATION","SAN DIEGO","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","PLEASANT HILL","CA"
"3","ART MUSEUM","LA JOLLA","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","STANFORD","CA"
"2","NATURAL HISTORY MUSEUM","BAKERSFIELD","CA"
"1","HISTORIC PRESERVATION","NEWPORT BEACH","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","PALO ALTO","CA"
"1","CHILDREN'S MUSEUM","SAUSALITO","CA"
"1","HISTORY MUSEUM","SUISUN CITY","CA"
"22","HISTORIC PRESERVATION","SAN FRANCISCO","CA"
"2","GENERAL MUSEUM","MOUNTAIN VIEW","CA"
"2","GENERAL MUSEUM","DANVILLE","CA"
"2","HISTORIC PRESERVATION","BELMONT","CA"
"1","ART MUSEUM","CULVER CITY","CA"
"7","HISTORIC PRESERVATION","SONOMA","CA"
"9","GENERAL MUSEUM","OAKLAND","CA"
"4","HISTORIC PRESERVATION","CHICO","CA"
"1","NATURAL HISTORY MUSEUM","BIG SUR","CA"
"1","HISTORIC PRESERVATION","WALNUT","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","LA JOLLA","CA"
"1","HISTORIC PRESERVATION","WEED","CA"
"1","HISTORIC PRESERVATION","BONITA","CA"
"1","GENERAL MUSEUM","BORON","CA"
"3","GENERAL MUSEUM","SALINAS","CA"
"1","CHILDREN'S MUSEUM","SANTA ANA","CA"
"1","HISTORIC PRESERVATION","PLACENTIA","CA"
"2","HISTORIC PRESERVATION","BREA","CA"
"1","HISTORY MUSEUM","ARROYO GRANDE","CA"
"1","CHILDREN'S MUSEUM","BUENA PARK","CA"
"1","HISTORIC PRESERVATION","BUENA PARK","CA"
"1","GENERAL MUSEUM","HANFORD","CA"
"1","HISTORIC PRESERVATION","DORRIS","CA"
"1","NATURAL HISTORY MUSEUM","HAYWARD","CA"
"1","HISTORIC PRESERVATION","WEST POINT","CA"
"9","HISTORIC PRESERVATION","RIVERSIDE","CA"
"1","GENERAL MUSEUM","FONTANA","CA"
"5","GENERAL MUSEUM","COSTA MESA","CA"
"1","NATURAL HISTORY MUSEUM","MARIPOSA","CA"
"2","GENERAL MUSEUM","OCEANSIDE","CA"
"1","GENERAL MUSEUM","ELK GROVE","CA"
"1","GENERAL MUSEUM","CASTRO VALLEY","CA"
"1","HISTORIC PRESERVATION","ESCONDIDO","CA"
"1","HISTORIC PRESERVATION","CANOGA PARK","CA"
"3","ART MUSEUM","STANFORD","CA"
"1","HISTORIC PRESERVATION","WHITETHORN","CA"
"6","HISTORIC PRESERVATION","MONTEREY","CA"
"1","HISTORIC PRESERVATION","CARMEL VALLEY","CA"
"2","ART MUSEUM","OXNARD","CA"
"3","HISTORY MUSEUM","SANTA BARBARA","CA"
"1","GENERAL MUSEUM","MONTECITO","CA"
"2","GENERAL MUSEUM","ATWATER","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","AVALON","CA"
"2","GENERAL MUSEUM","IONE","CA"
"10","GENERAL MUSEUM","CHICO","CA"
"1","HISTORIC PRESERVATION","SHAVER LAKE","CA"
"1","ART MUSEUM","NORWALK","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","CHICO","CA"
"1","CHILDREN'S MUSEUM","RANCHO MIRAGE","CA"
"1","CHILDREN'S MUSEUM","IRVINE","CA"
"3","GENERAL MUSEUM","EUREKA","CA"
"1","HISTORY MUSEUM","EL DORADO HILLS","CA"
"1","GENERAL MUSEUM","RAMONA","CA"
"1","HISTORIC PRESERVATION","CLAYTON","CA"
"1","GENERAL MUSEUM","CLOVIS","CA"
"1","HISTORIC PRESERVATION","COARSEGOLD","CA"
"7","HISTORIC PRESERVATION","SANTA BARBARA","CA"
"1","HISTORIC PRESERVATION","WILLOWS","CA"
"2","GENERAL MUSEUM","CHATSWORTH","CA"
"1","HISTORIC PRESERVATION","LEGGETT","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","SAN LUIS OBIS","CA"
"2","GENERAL MUSEUM","NEWPORT BEACH","CA"
"6","HISTORIC PRESERVATION","MARTINEZ","CA"
"3","HISTORIC PRESERVATION","CORONA","CA"
"2","HISTORIC PRESERVATION","COVINA","CA"
"4","HISTORIC PRESERVATION","MENDOCINO","CA"
"1","GENERAL MUSEUM","BELL","CA"
"1","HISTORIC PRESERVATION","DANA POINT","CA"
"1","HISTORY MUSEUM","MURRIETA","CA"
"6","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","DAVIS","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","DEATH VALLEY","CA"
"1","HISTORIC PRESERVATION","DEL MAR","CA"
"4","GENERAL MUSEUM","ARCATA","CA"
"2","ART MUSEUM","NAPA","CA"
"1","GENERAL MUSEUM","PLEASANT HILL","CA"
"1","GENERAL MUSEUM","CRESTLINE","CA"
"1","GENERAL MUSEUM","RANCHO PALOS","CA"
"1","ART MUSEUM","DOWNEY","CA"
"2","GENERAL MUSEUM","WILMINGTON","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","DUNSMUIR","CA"
"3","GENERAL MUSEUM","EL CAJON","CA"
"3","HISTORIC PRESERVATION","PLACERVILLE","CA"
"2","HISTORY MUSEUM","PASO ROBLES","CA"
"2","GENERAL MUSEUM","SOLVANG","CA"
"2","GENERAL MUSEUM","TRUCKEE","CA"
"5","GENERAL MUSEUM","MARYSVILLE","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","NEWPORT BEACH","CA"
"3","CHILDREN'S MUSEUM","ESCONDIDO","CA"
"1","HISTORY MUSEUM","ESCONDIDO","CA"
"1","ART MUSEUM","CUPERTINO","CA"
"1","GENERAL MUSEUM","HELENDALE","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","SANTA ANA","CA"
"2","GENERAL MUSEUM","FALLBROOK","CA"
"1","HISTORY MUSEUM","FILLMORE","CA"
"1","HISTORIC PRESERVATION","WOODSIDE","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","WOODSIDE","CA"
"3","ART MUSEUM","IRVINE","CA"
"1","GENERAL MUSEUM","LA QUINTA","CA"
"1","HISTORIC PRESERVATION","EDWARDS AFB","CA"
"1","HISTORIC PRESERVATION","FLORIN","CA"
"3","HISTORY MUSEUM","SAN PEDRO","CA"
"1","HISTORIC PRESERVATION","JENNER","CA"
"1","HISTORIC PRESERVATION","FOUNTAIN VALLEY","CA"
"5","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","LOS ANGELES","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","WOODLAND","CA"
"1","ART MUSEUM","MALIBU","CA"
"3","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","FRESNO","CA"
"1","HISTORIC PRESERVATION","GARDEN GROVE","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","WALNUT CREEK","CA"
"3","HISTORIC PRESERVATION","TAHOE CITY","CA"
"2","GENERAL MUSEUM","CYPRESS","CA"
"1","ART MUSEUM","TIBURON","CA"
"1","NATURAL HISTORY MUSEUM","SOLVANG","CA"
"2","GENERAL MUSEUM","GOLETA","CA"
"1","HISTORIC PRESERVATION","GONZALES","CA"
"3","GENERAL MUSEUM","MODESTO","CA"
"1","GENERAL MUSEUM","LODI","CA"
"3","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","SAN DIEGO","CA"
"1","CHILDREN'S MUSEUM","OXNARD","CA"
"1","ART MUSEUM","COVINA","CA"
"1","ART MUSEUM","SOUTH LAKE TAHOE","CA"
"1","GENERAL MUSEUM","PORTERVILLE","CA"
"2","ART MUSEUM","LA VERNE","CA"
"1","ART MUSEUM","SALINAS","CA"
"1","HISTORIC PRESERVATION","HAWTHORNE","CA"
"3","HISTORIC PRESERVATION","PETALUMA","CA"
"3","GENERAL MUSEUM","CHINO","CA"
"1","HISTORIC PRESERVATION","HERMOSA BEACH","CA"
"4","HISTORIC PRESERVATION","LODI","CA"
"1","HISTORY MUSEUM","SAN CARLOS","CA"
"1","HISTORIC PRESERVATION","MORRO BAY","CA"
"1","HISTORIC PRESERVATION","POMONA","CA"
"4","HISTORIC PRESERVATION","PASADENA","CA"
"2","HISTORIC PRESERVATION","HOLLYWOOD","CA"
"3","GENERAL MUSEUM","MAMMOTH LAKES","CA"
"1","HISTORIC PRESERVATION","GREENVILLE","CA"
"2","GENERAL MUSEUM","LA MESA","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","HUGHSON","CA"
"1","HISTORIC PRESERVATION","HUGHSON","CA"
"1","HISTORY MUSEUM","SAMOA","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","EUREKA","CA"
"1","ART MUSEUM","HUNTINGTON BE","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","SAN MARINO","CA"
"2","ART MUSEUM","EL CAJON","CA"
"1","HISTORIC PRESERVATION","IMPERIAL","CA"
"1","GENERAL MUSEUM","IMPERIAL","CA"
"1","GENERAL MUSEUM","CHULA VISTA","CA"
"1","GENERAL MUSEUM","HERMOSA BEACH","CA"
"3","GENERAL MUSEUM","SIMI VALLEY","CA"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","LONGBEACH","CA"
"1","GENERAL MUSEUM","INVERNESS","CA"
"2","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","CLAREMONT","CA"
"1","CHILDREN'S MUSEUM","AMADOR CITY","CA"
"1","GENERAL MUSEUM","JOSHUA TREE","CA"
"2","HISTORY MUSEUM","AUBURN","CA"
"2","HISTORIC PRESERVATION","JULIAN","CA"
"1","ART MUSEUM","ALAMEDA","CA"
"1","GENERAL MUSEUM","KINGSBURG","CA"
"2","GENERAL MUSEUM","CORONADO","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","SUTTER CREEK","CA"
"1","HISTORIC PRESERVATION","LA PUENTE","CA"
"1","HISTORY MUSEUM","BERKELEY","CA"
"1","CHILDREN'S MUSEUM","LK ARROWHEAD","CA"
"2","HISTORIC PRESERVATION","SOUTH LAKE TAHOE","CA"
"1","HISTORY MUSEUM","LA CANADA","CA"
"2","GENERAL MUSEUM","LIVERMORE","CA"
"1","ART MUSEUM","HOLLYWOOD","CA"
"1","GENERAL MUSEUM","LOA ANGELES","CA"
"2","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","MT HAMILTON","CA"
"2","GENERAL MUSEUM","LINCOLN","CA"
"1","HISTORY MUSEUM","LOMITA","CA"
"1","HISTORY MUSEUM","LOMPAC","CA"
"1","ART MUSEUM","LOMPOC","CA"
"2","HISTORY MUSEUM","SAN FERNANDO","CA"
"1","GENERAL MUSEUM","HOLLYWOOD","CA"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","LOS ANGELES","CA"
"3","GENERAL MUSEUM","WALNUT CREEK","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","ROSEVILLE","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","MANHATTAN BEACH","CA"
"1","HISTORIC PRESERVATION","MANHATTAN BCH","CA"
"1","HISTORIC PRESERVATION","MANTON","CA"
"1","HISTORY MUSEUM","SAN RAFAEL","CA"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","VAN NUYS","CA"
"2","ART MUSEUM","SANTA CRUZ","CA"
"1","HISTORIC PRESERVATION","MARYSVILLE","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","RIDGECREST","CA"
"1","GENERAL MUSEUM","NEWHALL","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","FORT BRAGG","CA"
"1","NATURAL HISTORY MUSEUM","OAKLAND","CA"
"1","GENERAL MUSEUM","MILLBRAE","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","CLAREMONT","CA"
"1","HISTORIC PRESERVATION","MILLVILLE","CA"
"1","GENERAL MUSEUM","MILPITAS","CA"
"1","HISTORY MUSEUM","SHAFTER","CA"
"2","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","CAMARILLO","CA"
"1","HISTORIC PRESERVATION","BRIDGEPORT","CA"
"2","HISTORIC PRESERVATION","SARATOGA","CA"
"3","GENERAL MUSEUM","LEMOORE","CA"
"1","HISTORIC PRESERVATION","MORAGA","CA"
"1","HISTORIC PRESERVATION","MORENO VALLEY","CA"
"1","HISTORIC PRESERVATION","CAMPO","CA"
"1","CHILDREN'S MUSEUM","SANTA BARBARA","CA"
"1","GENERAL MUSEUM","FULLERTON","CA"
"1","HISTORY MUSEUM","ALHAMBRA","CA"
"1","ART MUSEUM","SANTA BARBAR","CA"
"1","GENERAL MUSEUM","CARSON","CA"
"1","GENERAL MUSEUM","LAKE FOREST","CA"
"1","GENERAL MUSEUM","FELICITY","CA"
"1","HISTORY MUSEUM","CARLSBAD","CA"
"1","ART MUSEUM","PLEASANT HILL","CA"
"2","GENERAL MUSEUM","ANAHEIM","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","IRVINE","CA"
"2","HISTORIC PRESERVATION","NEVADA CITY","CA"
"1","HISTORY MUSEUM","NEWPORT BEACH","CA"
"1","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","LAGUNA NIGUEL","CA"
"1","HISTORY MUSEUM","BAYSIDE","CA"
"1","HISTORY MUSEUM","COULTERVILIE","CA"
"1","HISTORIC PRESERVATION","OAK RUN","CA"
"1","HISTORY MUSEUM","MURPHYS","CA"
"3","HISTORIC PRESERVATION","ORANGE","CA"
"1","ART MUSEUM","PACIFIC GROVE","CA"
"1","HISTORIC PRESERVATION","SAN DIMAS","CA"
"1","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","WOODLAND HILLS","CA"
"2","HISTORIC PRESERVATION","PACIFICA","CA"
"2","HISTORIC PRESERVATION","PALO ALTO","CA"
"1","ART MUSEUM","PARADISE","CA"
"2","HISTORIC PRESERVATION","SANTA YNEZ","CA"
"1","HISTORIC PRESERVATION","PERRIS","CA"
